16,44
0	13	13	28	28	50	50	74	74	92	94	106	106	122	122	134	134	142	142	157	157	173	173	190	190	201	201	215	215	229	231	247	247	253	253	261	261	275	275	281	283	293	293	306
5	18	18	32	32	54	54	78	81	105	107	120	120	136	136	149	149	157	159	177	179	197	197	215	215	227	237	252	252	268	272	288	288	294	294	302	302	317	317	323	325	336	336	349
35	48	48	62	62	84	84	108	110	134	138	155	166	181	181	194	194	202	202	216	216	232	232	248	248	260	260	273	275	294	297	315	315	322	324	332	332	347	349	356	356	368	368	382
53	74	79	93	93	114	114	137	139	163	167	180	180	195	195	208	208	216	216	231	233	250	250	267	267	279	279	293	293	307	311	327	327	334	334	342	342	356	356	363	370	380	380	393
75	89	89	104	104	127	129	156	156	175	177	194	197	213	213	226	226	234	234	248	248	265	265	282	287	299	299	314	314	329	331	351	356	362	362	369	369	382	382	388	388	398	398	409
80	97	97	115	117	138	138	161	163	187	189	201	201	216	216	228	228	236	236	250	250	266	278	296	296	308	308	323	323	338	342	361	363	371	371	381	383	396	396	402	402	411	413	430
85	101	101	119	130	151	151	174	189	213	218	231	231	247	247	260	260	268	270	284	284	301	301	318	318	330	330	344	346	364	368	386	386	393	395	403	403	417	417	424	426	437	439	457
125	139	139	154	154	177	179	205	205	224	226	240	240	258	260	275	275	284	286	304	306	323	323	340	340	352	352	366	366	380	382	401	403	409	409	418	418	432	434	440	440	451	451	463
148	169	171	189	191	212	212	235	237	261	264	277	277	293	293	306	306	314	323	341	343	360	360	377	377	389	389	403	403	417	419	435	435	442	442	450	450	464	466	476	478	489	495	512
180	193	193	208	208	230	230	254	254	272	274	286	286	301	301	314	314	321	321	335	335	351	351	368	368	379	379	392	392	406	408	423	423	429	429	436	436	449	449	455	455	464	464	476
190	206	206	224	226	247	247	270	272	296	298	311	311	328	328	341	344	352	352	367	367	384	384	402	404	416	416	431	431	446	448	467	469	477	477	487	489	502	502	508	508	517	519	536
200	221	223	237	237	258	260	287	289	313	315	329	329	347	349	362	362	370	370	385	387	405	405	423	423	435	437	452	452	468	470	486	486	493	493	501	501	515	515	522	524	535	535	548
250	266	266	284	286	307	307	330	332	356	358	370	370	386	386	399	399	407	407	421	423	443	446	464	464	476	476	491	491	506	508	527	529	537	537	547	549	562	562	568	568	577	579	596
260	274	274	289	289	312	314	341	341	360	362	375	375	392	392	405	407	419	421	439	445	462	462	480	480	493	493	507	509	527	531	547	547	553	553	561	561	575	575	581	583	593	593	606
280	297	297	315	318	339	339	362	364	388	390	404	404	422	424	437	437	445	445	459	459	476	476	493	495	508	508	523	523	538	540	558	558	565	567	576	576	591	593	603	609	620	620	633
295	316	319	333	333	354	356	383	383	402	412	426	426	444	446	459	459	467	467	482	484	503	503	522	528	540	540	555	555	570	572	590	590	597	599	608	608	623	625	631	631	642	642	654
